player,color,moves,total_sac,file_name
Alekhine,White,67,11,Alekhine-Alexander-A_vs_Bensadon-Rafael_1938.__.__.pgn
Alekhine,Black,56,3.5,Saemisch-Friedrich_vs_Alekhine-Alexander-A_1922.__.__ (1).pgn
Alekhine,Black,88,3.5,Euwe-Max_vs_Alekhine-Alexander-A_1935.__.__ (7).pgn
Alekhine,White,77,0,Alekhine-Alexander-A_vs_Giersing-Johannes_1912.__.__.pgn
Alekhine,Black,40,1,Leepin-Peter_vs_Alekhine-Alexander-A_1941.__.__.pgn
Alekhine,White,27,3.5,Alekhine-Alexander-A_vs_Spielmann-Rudolf_1922.__.__.pgn
Alekhine,White,57,3,Alekhine-Alexander-A_vs_Nikolaev-Victor_1909.__.__.pgn
Alekhine,White,91,3.5,Alekhine-Alexander-A_vs_Tartakower-Savielly_1922.__.__.pgn
Alekhine,Black,39,2.5,Andriyashev-A_vs_Alekhine-Alexander-A_1903.__.__.pgn
Alekhine,White,83,0,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1934.__.__ (11).pgn
Alekhine,White,53,2.5,Alekhine-Alexander-A_vs_Duras-Oldrich_1914.__.__.pgn
Alekhine,White,79,10,Alekhine-Alexander-A_vs_Euwe-Max_1937.__.__ (4).pgn
Alekhine,Black,74,0,Fairhurst-William-A_vs_Alekhine-Alexander-A_1933.06.__.pgn
Alekhine,Black,138,14.5,Rellstab-Ludwig-Sr_vs_Alekhine-Alexander-A_1943.__.__.pgn
Alekhine,Black,151,9,Vukovic-Vladimir_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,White,97,3.5,Alekhine-Alexander-A_vs_Borochow-Harry_1932.__.__ (1).pgn
Alekhine,White,71,4.5,Alekhine-Alexander-A_vs_Mampel-M_1944.__.__.pgn
Alekhine,Black,84,3.5,Carls-Carl-J-M_vs_Alekhine-Alexander-A_1943.__.__.pgn
Alekhine,White,84,10,Alekhine-Alexander-A_vs_Euwe-Max_1927.__.__ (2).pgn
Alekhine,White,68,1,Alekhine-Alexander-A_vs_Barron-G_1923.__.__.pgn
Alekhine,White,59,0,Alekhine-Alexander-A_vs_Breyer-Gyula_1913.__.__.pgn
Alekhine,White,89,0,Alekhine-Alexander-A_vs_Leigh-R_1923.__.__.pgn
Alekhine,White,90,1,Alekhine-Alexander-A_vs_Levenfish-Grigori-Y_1911.__.__.pgn
Alekhine,White,75,6,Alekhine-Alexander-A_vs_Gregory-Bernhard_1909.__.__.pgn
Alekhine,Black,78,0,Vajda-Arpad_vs_Alekhine-Alexander-A_1926.__.__.pgn
Alekhine,White,72,13.5,Alekhine-Alexander-A_vs_Tartakower-Savielly_1923.__.__.pgn
Alekhine,Black,30,2.5,Rodzinski_vs_Alekhine-Alexander-A_1913.__.__.pgn
Alekhine,Black,80,11,Flohr-Salomon-M_vs_Alekhine-Alexander-A_1931.__.__.pgn
Alekhine,Black,166,0,Thomas-George-A_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,White,133,5.5,Alekhine-Alexander-A_vs_Eliskases-Erich-G_1933.__.__.pgn
Alekhine,White,71,12,Alekhine-Alexander-A_vs_Saemisch-Friedrich_1921.__.__.pgn
Alekhine,Black,76,1.5,Grau-Roberto_vs_Alekhine-Alexander-A_1930.__.__.pgn
Alekhine,White,81,3.5,Alekhine-Alexander-A_vs_Euwe-Max_1935.__.__ (5).pgn
Alekhine,Black,100,6,Fine-Reuben_vs_Alekhine-Alexander-A_1935.__.__.pgn
Alekhine,Black,48,0,Fine-Reuben_vs_Alekhine-Alexander-A_1936.__.__.pgn
Alekhine,White,43,1,Alekhine-Alexander-A_vs_Geish-Ollisevich-R_1905.__.__.pgn
Alekhine,White,100,8,Alekhine-Alexander-A_vs_Yates-Frederick_1923.__.__.pgn
Alekhine,White,53,8,Alekhine-Alexander-A_vs_Euwe-Max_1937.__.__ (11).pgn
Alekhine,White,69,3.5,Alekhine-Alexander-A_vs_Levenfish-Grigori-Y_1920.__.__.pgn
Alekhine,White,97,11,Alekhine-Alexander-A_vs_Bieler_1935.__.__.pgn
Alekhine,White,89,0,Alekhine-Alexander-A_vs_Marshall-Frank-J_1927.__.__.pgn
Alekhine,Black,40,0,Zhukovsky-V_vs_Alekhine-Alexander-A_1905.__.__.pgn
Alekhine,Black,46,7,Reilly-Brian-Patrick_vs_Alekhine-Alexander-A_1935.__.__.pgn
Alekhine,White,63,3.5,Alekhine-Alexander-A_vs_Brinckmann-Alfred_1942.__.__.pgn
Alekhine,Black,66,5.5,Johner-Paul-F_vs_Alekhine-Alexander-A_1928.__.__.pgn
Alekhine,White,75,2.5,Alekhine-Alexander-A_vs_Naegeli-Oskar_1923.__.__ (1).pgn
Alekhine,White,55,10,Alekhine-Alexander-A_vs_Capablanca-Jose-Raul_1927.__.__ (11).pgn
Alekhine,White,45,0,Alekhine-Alexander-A_vs_Andersen_1931.__.__.pgn
Alekhine,White,91,4.5,Alekhine-Alexander-A_vs_Bardsley-H_1926.__.__.pgn
Alekhine,White,56,7,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1934.__.__ (10).pgn
Alekhine,Black,34,0,Shakhovsky-F_vs_Alekhine-Alexander-A_1905.__.__.pgn
Alekhine,Black,58,3.5,Rubinstein-Akiba-K_vs_Alekhine-Alexander-A_1926.__.__ (1).pgn
Alekhine,White,45,6,Alekhine-Alexander-A_vs_Reilly-Brian_1937.__.__.pgn
Alekhine,Black,104,7.5,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1942.__.__ (1).pgn
Alekhine,Black,64,0,Blumenfeld-Beniamin-M_vs_Alekhine-Alexander-A_1908.__.__.pgn
Alekhine,White,103,8,Alekhine-Alexander-A_vs_Milner-Barry-Philip-S_1938.__.__.pgn
Alekhine,White,59,3.5,Alekhine-Alexander-A_vs_Rubinstein-Akiba-K_1925.__.__.pgn
Alekhine,Black,107,4.5,Buerger-Victor_vs_Alekhine-Alexander-A_1937.__.__.pgn
Alekhine,White,113,16.5,Alekhine-Alexander-A_vs_Keres-Paul_1942.__.__ (1).pgn
Alekhine,White,72,11.5,Alekhine-Alexander-A_vs_Klopotovsky_1935.__.__.pgn
Alekhine,White,63,4.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1943.__.__.pgn
Alekhine,Black,118,12,Marshall-Frank-J_vs_Alekhine-Alexander-A_1929.__.__.pgn
Alekhine,White,37,0,Alekhine-Alexander-A_vs_And-Himlvopen-V_1933.__.__.pgn
Alekhine,Black,69,1,Takacs-Sandor_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,Black,48,2.5,Canepa-Jose_vs_Alekhine-Alexander-A_1938.__.__.pgn
Alekhine,Black,151,0,Rubinstein-Akiba-K_vs_Alekhine-Alexander-A_1911.__.__.pgn
Alekhine,White,110,17,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1929.__.__ (12).pgn
Alekhine,White,93,6.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1922.__.__ (1).pgn
Alekhine,White,50,0,Alekhine-Alexander-A_vs_Van-Foreest-D_1933.__.__.pgn
Alekhine,White,91,8.5,Alekhine-Alexander-A_vs_Malcanek_1943.__.__.pgn
Alekhine,White,131,15.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1934.__.__ (9).pgn
Alekhine,Black,72,13.5,Wolf-Heinrich_vs_Alekhine-Alexander-A_1923.__.__.pgn
Alekhine,Black,57,0,Hecht_vs_Alekhine-Alexander-A_1933.__.__.pgn
Alekhine,Black,70,4.5,Bluemich-Max_vs_Alekhine-Alexander-A_1941.__.__.pgn
Alekhine,Black,78,2,Axelsson-F_vs_Alekhine-Alexander-A_1935.__.__.pgn
